ID;Acari;Agapetus;Allogamus;Ancylus_fluviatilis;Anthomyiidae;Apatania;Asellus;Atherix;Atrichops_crassipes;Baetis;Blepharicera;Boyeria_irene;Bythinella;Caenis;Calopteryx;Cecidomyiidae;Ceraclea_Homilia;Ceratopogoninae;Chalcolestes_viridis;Chimarra;Chironomini;Clinocerinae;Copelatus;Corixinae;Cyphon;Dashyheleinae;Dupophilos;Echinogammarus;Elmis;Ephemera;Ephemerella;Esolus;Eubria;Gyraulus;Habroleptoides;Habrophlebia;Hemerodromiinae;Heptagenidae;Hexatomiini;Holocentropus;Hydraena;Hydrocyphon;Hydrometra;Hydropsyche;Hydroptilidae;Hyporhyacophila;Isogenus_nubecula;Lepidostoma_hirtum;Leptophlebiidae;Leuctra;Limnius;Limoniini;Liponeura;Lymnaea;Macroplea;Marthamea;Mesovelia;Metalype_fragilis;Micrasema;Mystacides;Neureclepsis;Normandia;Oecetis;Ophiogomphus;Orectochilus;Orthocladiinae;Oulimnius;Pacifastacus_lenisculus;Pararhyacophila;Pediciini;Perla;Philopotamus;Physa;Pisidium;Plectrocnemia;Polycentropus;Potamopyrgus_antipodarum;Procloeon;Prodiamesinae;Prosimullini;Psychodidae;Psychomya_pusilla;Radix;Rhagionidae;Rhyacophila;Sericostoma;Silo_Lithax;Simullini;Siphonoperla;Sphaerium;Stenelmis;Tabanidae;Tanypodinae;Tanytarsini;Tipulidae;Boreobdella;Dugesia;Glossiphonia;Haementeria;Haemopis;Oligochaeta;Polycelis
Kadagua_Impact-Down_2;26;0;0;9;0;0;0;0;0;46;0;0;2;18;0;0;0;0;0;0;20;0;0;0;0;0;0;1;0;0;2;9;0;1;3;1;0;1;0;0;0;0;0;18;1;0;0;0;0;30;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;0;0;0;0;0;4;0;15;11;0;0;0;0;14;0;0;0;0;0;1;0;0;6;0;4;25;0;0;2;0;0;0;5;0
Kadagua_Impact-Down_3;53;0;0;4;0;0;0;0;0;35;0;1;0;36;2;0;0;0;1;0;26;0;0;1;0;0;0;1;0;0;2;4;0;0;3;0;0;4;0;0;0;0;0;11;5;0;0;0;0;22;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;46;1;0;0;0;0;0;0;2;0;9;12;1;0;0;0;20;0;0;0;0;0;3;0;0;0;0;4;34;0;0;1;0;0;0;20;0
Kadagua_Impact-Mid_1;62;0;0;13;0;0;1;0;0;179;0;0;0;46;0;0;0;0;0;0;17;0;0;0;0;0;0;1;0;0;13;51;0;0;0;0;0;1;0;0;0;1;0;135;6;0;0;0;0;22;3;43;0;0;0;0;0;0;0;0;1;0;0;0;0;35;2;0;2;0;0;0;0;2;0;1;33;1;0;0;0;52;0;0;5;0;0;12;1;0;8;0;5;113;0;0;2;0;0;0;78;0
Kadagua_Impact-Mid_2;19;0;0;40;0;0;0;0;0;200;0;0;0;27;0;0;0;1;0;0;22;0;0;0;0;0;0;1;1;0;5;50;0;0;1;0;0;0;0;1;4;0;0;236;3;0;0;0;0;32;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;61;2;0;0;0;0;0;0;3;0;2;17;0;0;0;0;21;0;0;7;0;0;39;0;0;12;0;0;92;0;0;2;0;0;0;10;0
Kadagua_Impact-Mid_3;35;0;0;6;0;0;0;0;1;270;0;0;0;15;0;1;0;0;0;0;10;0;0;0;0;0;0;0;0;0;2;55;0;0;0;0;0;5;0;3;1;0;0;180;3;0;0;0;0;32;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;96;1;0;0;0;0;0;0;1;0;0;24;0;0;0;0;56;0;0;0;0;0;44;0;1;6;0;1;39;0;0;1;0;0;0;17;0
Kadagua_Impact-Up_1;30;0;0;10;0;0;0;0;0;109;0;0;0;39;0;0;0;1;0;0;15;1;0;0;0;0;0;0;0;0;7;11;0;0;1;0;0;6;0;1;1;0;0;43;1;0;0;0;0;20;2;31;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;1;0;4;9;0;0;0;0;44;0;0;1;1;0;9;0;0;4;0;2;70;0;0;0;0;0;0;3;0
Kadagua_Impact-Up_2;9;0;0;7;0;0;0;0;0;430;0;0;0;36;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3;35;0;1;5;0;0;5;0;4;0;1;0;176;1;0;0;0;0;23;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;32;1;0;0;0;0;0;0;1;0;5;11;0;0;0;0;8;0;0;6;0;0;78;0;0;13;0;7;48;0;0;1;0;0;0;5;0
Kadagua_Impact-Up_3;1;0;0;42;1;0;0;0;0;416;0;0;0;38;0;0;0;0;0;0;2;2;0;0;0;0;0;3;0;0;4;60;0;0;4;0;0;1;0;0;0;0;0;209;0;1;0;0;0;35;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;7;0;0;108;0;0;11;0;4;76;0;0;13;0;0;0;36;0
Leitzaran_Control-Down_1;2;0;0;1;0;0;0;0;0;226;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;2;0;0;0;0;0;51;0;0;0;0;0;8;0;0;0;0;0;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;26;0
Leitzaran_Control-Down_2;10;0;0;0;0;0;0;0;0;253;0;0;0;94;0;0;0;0;0;0;4;0;0;0;1;0;0;177;2;0;2;25;0;0;1;0;0;22;0;0;2;1;0;4;0;0;0;0;0;124;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;19;0;0;1;1;0;10;0;0;0;0;7;0;0;0;0;0;0;0;9;0;0;19;3;0;0;0;0;6;0;0;0;0;0;0;23;0
